id;data;ora;numar_proces_verbal;reprezentant;spatii;suprafata;rapel_dezinsectie;rapel_deratizare;garantie_dezinsectie;garantie_deratizare;companie_id;client_id;operator_id
0be10fa0-c79c-4e0e-ba2e-f158bcffb889;2024-02-04;2024-02-04T15:03:49;15482;blissfully snowball;despite hm repeatedly;20376;19955;26150;true;false;26fe079c-7a1b-42b0-8315-772bb2ec33a6;61a5feb4-1a90-401f-b24e-d82bdd7aa557;a84bb269-f062-4ffa-be96-d511dd000050
3fe3655e-497b-4274-863f-e2a6c0615e07;2024-02-04;2024-02-04T18:18:01;16143;playfully likewise why;ew generally periodic;26237;30966;19622;true;true;10a4cfaf-a373-4c80-882e-080b3d278a20;6302f2d4-aa11-475f-96c8-d5401c3ced24;b499115a-3dc1-4347-9c0c-45861531556d
bb0ca059-c83f-44d6-a86e-377a31e9f964;2024-02-04;2024-02-05T12:05:39;868;slander coolly barring;divine monthly;12039;19451;14493;false;true;44544f3d-314b-4e9b-9ba7-5f26df39ca57;4e9ad5d9-cc57-4089-b6d8-a2220b50f8dc;b499115a-3dc1-4347-9c0c-45861531556d
9fd86c1b-e6a8-47b7-9875-6c1f3d54c158;2024-02-05;2024-02-05T09:13:59;31216;admonish stinger;polo;30856;27255;7017;true;true;59e3aa55-7cb3-4d54-a180-66f7efac70f5;6340b969-bd0c-42cb-999e-9f9fb5425621;b499115a-3dc1-4347-9c0c-45861531556d
9b29ba7e-0e50-4573-8d3f-a6e85791d886;2024-02-05;2024-02-05T09:36:03;4223;since freelance prompt;opposite;30426;20596;2413;true;true;51b9321c-a6bb-475f-aeca-ad26d2b30a79;425cd8d9-5ef3-45da-b79d-36e328eaca55;a84bb269-f062-4ffa-be96-d511dd000050
1c746e02-e64d-4b39-b616-51ad003d1b7f;2024-02-05;2024-02-04T23:14:31;19815;embezzle polymerise frenetically;huzzah officially;12845;26845;7530;true;true;0efd6915-4bde-46ce-8987-e1f797bc1475;72021e3e-ef6f-4f18-b2c2-220c86a94deb;b499115a-3dc1-4347-9c0c-45861531556d
6ef6fff7-5fd3-48ed-9901-0a646f06e977;2024-02-05;2024-02-05T04:04:58;9964;usually;showy joyful endive;23464;10576;10312;true;true;646ad0df-24a6-4fc3-9015-0ef250d89aa6;b3fd04ed-3366-4c49-9378-9872db85038b;a84bb269-f062-4ffa-be96-d511dd000050
7cb8e9de-7727-4193-9926-08168593d73a;2024-02-05;2024-02-04T20:39:56;30567;psst vivaciously;before painfully vivaciously;20808;6423;17244;false;true;e19c6172-8854-47e4-b65d-d8e99f25ebfa;04d5aec9-4a86-47fb-829d-5ab66594b0c5;b499115a-3dc1-4347-9c0c-45861531556d
44c76206-6776-49e1-8d89-a7421fe269ed;2024-02-05;2024-02-05T02:15:27;25379;major-league;whose times bah;10090;28920;22367;true;true;839c8d0a-7bfc-42fa-a49e-4fc071856be0;54137867-ba1a-4a94-8848-2d51b79ab201;b499115a-3dc1-4347-9c0c-45861531556d
9a5e35bb-8a88-45e5-be0e-f514d608003e;2024-02-05;2024-02-05T00:09:04;14144;sharply among;throughout;28912;21680;31253;false;true;0653db91-ca82-48ec-b0f7-b7644031f22b;ec8dc320-5ec0-4ee3-82d9-8600449dc61f;b499115a-3dc1-4347-9c0c-45861531556d
